,0,1,2,3
129,Joel Embiid,0.0,"$9,500",0
130,Derrick Rose,0.0,"$3,800",0
131,Dewayne Dedmon,0.0,"$5,100",0
132,Tristan Thompson,0.0,"$3,800",0
133,Iman Shumpert,0.0,"$3,500",0
134,Mike Muscala,0.0,"$3,500",0
135,Nik Stauskas,0.0,"$3,000",0
136,Jacob Pullen,0.0,"$3,000",0
137,D.J. Wilson,0.0,"$3,000",0
138,C.J. Wilcox,0.0,"$3,000",0
139,Mirza Teletovic,0.0,"$3,200",0
140,Danilo Gallinari,0.0,"$5,700",0
141,Raul Neto,0.0,"$3,200",0
142,Brice Johnson,0.0,"$3,000",0
143,Rodney Hood,0.0,"$5,700",0
144,Monte Morris,0.0,"$3,000",0
145,Paul Zipser,0.0,"$3,500",0
146,Jabari Bird,0.0,"$3,000",0
147,Kadeem Allen,0.0,"$3,000",0
148,Wilson Chandler,0.0,"$4,800",0
149,Nikola Mirotic,0.0,"$5,000",0
150,Cameron Payne,0.0,"$3,000",0
151,Zach LaVine,0.0,"$4,700",0
152,Markelle Fultz,0.0,"$3,800",0
